t,t_R,x_1
#,1,190
#,2,205
#,3,196
#,4,191
#,5,195
#,6,208
#,7,229
#,8,211
#,9,205
#,10,196
#,11,221
#,12,230
#,13,220
#,14,214
#,15,202
#,16,201
#,17,211
#,18,206
#,19,216
#,20,220
#,21,221
#,22,222
#,23,214
#,24,217
#,25,227
#,26,223
#,27,206
#,28,198
#,29,199
#,30,199
#,31,188
#,32,172
#,33,191
#,34,185
#,35,192
#,36,193
#,37,196
#,38,187
#,39,175
#,40,190
#,41,181
#,42,198
#,43,197
#,44,188
#,45,196
#,46,219
#,47,213
#,48,203
#,49,197
#,50,182
#,51,199
#,52,202
#,53,195
#,54,205
#,55,211
#,56,188
#,57,187
#,58,185
#,59,187
#,60,204
#,61,207
#,62,210
#,63,193
#,64,191
#,65,196
#,66,199
#,67,189
#,68,202
#,69,184
#,70,210
#,71,214
#,72,218
#,73,225
#,74,219
#,75,203
#,76,188
#,77,183
#,78,188
#,79,200
#,80,197
#,81,206
#,82,198
#,83,193
#,84,177
#,85,190
#,86,183
#,87,190
#,88,192
#,89,195
#,90,199
#,91,200
#,92,199
#,93,216
#,94,212
#,95,217
#,96,207
#,97,213
#,98,210
#,99,203
100,100,197
#,101,194
#,102,174
#,103,186
#,104,192
#,105,197
#,106,228
#,107,219
#,108,226
#,109,220
#,110,204
#,111,180
#,112,185
#,113,198
#,114,205
#,115,195
#,116,193
#,117,202
#,118,199
#,119,187
#,120,189
#,121,211
#,122,195
#,123,207
#,124,190
#,125,194
#,126,192
#,127,204
#,128,193
#,129,200
#,130,210
#,131,222
#,132,226
#,133,226
#,134,226
#,135,235
#,136,232
#,137,227
#,138,228
#,139,221
#,140,203
#,141,204
#,142,198
#,143,196
#,144,181
#,145,171
#,146,195
#,147,198
#,148,211
#,149,201
#,150,188
#,151,190
#,152,192
#,153,194
#,154,187
#,155,194
#,156,187
#,157,207
#,158,197
#,159,200
#,160,199
#,161,208
#,162,200
#,163,216
#,164,199
#,165,200
#,166,213
#,167,216
#,168,211
#,169,198
#,170,196
#,171,194
#,172,196
#,173,193
#,174,195
#,175,192
#,176,184
#,177,186
#,178,173
#,179,179
#,180,182
#,181,191
#,182,201
#,183,196
#,184,199
#,185,199
#,186,211
#,187,215
#,188,246
#,189,239
#,190,229
#,191,235
#,192,230
#,193,224
#,194,216
#,195,227
#,196,225
#,197,223
#,198,229
#,199,234
200,200,210
#,201,219
#,202,213
#,203,213
#,204,206
#,205,214
#,206,230
#,207,226
#,208,213
#,209,185
#,210,189
#,211,194
#,212,199
#,213,190
#,214,195
#,215,194
#,216,213
#,217,217
