par1,par2,par3
34.000000,100.000000,1.000000
100.000000,100.000000,1.000000
100.000000,100.000000,67.000000
100.000000,34.000000,67.000000
67.000000,1.000000,67.000000
67.000000,1.000000,1.000000
1.000000,1.000000,1.000000
1.000000,67.000000,1.000000
67.000000,34.000000,100.000000
1.000000,34.000000,100.000000
1.000000,100.000000,100.000000
1.000000,100.000000,34.000000
100.000000,34.000000,34.000000
100.000000,34.000000,100.000000
100.000000,100.000000,100.000000
34.000000,100.000000,100.000000
1.000000,67.000000,34.000000
1.000000,67.000000,100.000000
1.000000,1.000000,100.000000
67.000000,1.000000,100.000000
34.000000,1.000000,1.000000
100.000000,1.000000,1.000000
100.000000,1.000000,67.000000
100.000000,67.000000,67.000000
1.000000,67.000000,67.000000
1.000000,1.000000,67.000000
1.000000,1.000000,1.000000
67.000000,1.000000,1.000000
1.000000,100.000000,67.000000
1.000000,100.000000,1.000000
67.000000,100.000000,1.000000
67.000000,34.000000,1.000000
34.000000,100.000000,1.000000
100.000000,100.000000,1.000000
100.000000,100.000000,67.000000
100.000000,34.000000,67.000000
1.000000,1.000000,34.000000
1.000000,1.000000,100.000000
67.000000,1.000000,100.000000
67.000000,67.000000,100.000000
