par1,par2,par3
31.937500,100.000000,81.437500
7.187500,25.750000,87.625000
13.375000,44.312500,7.187500
19.562500,62.875000,31.937500
75.250000,93.812500,44.312500
100.000000,31.937500,38.125000
62.875000,19.562500,100.000000
56.687500,87.625000,75.250000
50.500000,50.500000,50.500000
69.062500,1.000000,19.562500
93.812500,75.250000,13.375000
87.625000,56.687500,93.812500
81.437500,38.125000,69.062500
25.750000,7.187500,56.687500
1.000000,69.062500,62.875000
38.125000,81.437500,1.000000
44.312500,13.375000,25.750000
